time,MPI-ESM1-2-HR,MPI-ESM1-2-LR,CanESM5,MIROC6,IPSL-CM6A-LR,ACCESS-CM2,NorESM2-LM,GFDL-ESM4
1997-08-26,24.985626,22.166168,25.455658,21.558594,22.959686,19.565826,22.909607,14.727173
1997-08-27,23.93747,22.782043,25.529694,22.652008,25.211823,19.899323,24.556519,14.976837
1997-08-28,28.347504,23.44577,25.91565,24.021942,27.00467,20.967682,25.216125,17.447754
1997-08-29,21.27591,25.424713,27.319305,23.439087,23.943817,20.979889,25.285614,18.644562
1997-08-30,16.011353,23.047821,26.500214,23.687408,23.892883,18.985748,24.581146,17.950714
1997-08-31,18.868317,22.67868,24.59671,22.353912,26.089233,18.932281,25.72763,17.10495
1997-09-01,19.534912,22.727814,23.799591,23.148468,25.740143,20.25821,23.29358,15.902649
1997-09-02,18.83139,23.331879,24.385681,23.9516,23.014313,24.105377,21.88327,15.958252
1997-09-03,20.066437,23.17215,25.416748,20.593323,22.761536,21.433746,24.469116,16.994415
1997-09-04,21.424438,21.825714,26.7146,22.850494,23.260773,19.58316,25.93396,18.381104
1997-09-05,23.337158,21.540497,24.822784,22.614655,23.825378,22.355865,23.932098,19.93509
1997-09-06,24.688263,21.75885,20.467651,20.789276,25.07782,25.136139,18.555176,20.660034
1997-09-07,23.959717,23.854767,20.659271,20.656586,25.47052,25.319244,14.571686,20.735779
1997-09-08,19.04123,25.272797,23.103455,21.392242,21.331177,23.294586,14.889191,23.283875
1997-09-09,18.602325,25.17163,26.134827,23.70636,18.721588,25.222076,16.5755,22.377441
1997-09-10,20.207489,22.49527,27.276855,24.030182,14.773804,23.433502,18.978668,19.33432
1997-09-11,21.647552,23.650543,27.701294,25.23758,17.938538,21.872467,22.428986,15.424622
1997-09-12,22.294525,23.953918,28.3154,24.361572,19.600555,20.457184,23.082489,20.595459
1997-09-13,21.56134,22.058197,24.94162,23.958801,19.03418,16.675446,21.064972,22.054535
1997-09-14,20.492798,23.073456,22.456787,22.420532,17.091461,14.07608,20.093536,15.940094
1997-09-15,17.96048,23.134308,21.545135,22.580505,18.822327,15.264801,25.289368,13.910889
1997-09-16,19.70987,23.935791,26.807892,23.097626,18.90921,15.14859,26.137085,15.234253
1997-09-17,21.55542,22.738556,22.847656,23.041718,17.446503,19.430084,19.625977,14.309479
1997-09-18,23.589203,24.075592,19.638336,20.679504,18.81009,16.619293,15.232269,19.632568
